,ferc,eia
246,Peoples Electric Cooperative,Canal Electric Co
247,"Pepperell Power Association, Limited Partnership",AES WR Ltd Partnership
248,"Perryville Energy Partners, L.L.C",Perryville Energy Partners
249,Pike County Light and Power Company,Pike County Light & Power Co
250,Pinnacle West Capital Corporation,Pinnacle West Capital Corp
251,Pinnacle West Marketing & Trading Co. LLC,A E Staley Manufacturing Co
252,Pioneer Power and Light Company,Pioneer Power & Light Co
253,"PJM Interconnection, LLC",PJM Interconnection LLC
254,"PJM Settlement, Inc.",Adams Rural Electric Coop Inc
255,Platte-Clay Electric Cooperative Inc.,Platte-Clay Electric Coop Inc
256,Portland General Electric Company,Portland General Electric Co
257,Potomac Electric Power Company,Potomac Electric Power Co
258,PPL Electric Utilities Corporation,A & N Electric Coop
259,"Prairie Wind Transmission, LLC",AES Cypress LLC
260,PSEG Energy Resources & Trade LLC,AES Cypress LLC
261,PSEG Fossil LLC,PSEG Fossil LLC
262,PSEG Nuclear LLC,PSEG Nuclear LLC
263,PSEG Power LLC,PSEG Power LLC
264,PSEG Power New York Inc.,PSEG Power New York Inc
265,Public Service Company of Colorado,Public Service Co of Colorado
266,Public Service Company of New Hampshire,Abbeville City of
267,Public Service Company of New Mexico,Abbeville City of
268,Public Service Company of Oklahoma,Public Service Co of Oklahoma
269,Public Service Electric and Gas Company,Public Service Electric&Gas Co
270,"Puget Sound Energy, Inc.",Puget Sound Energy Inc
271,"Rayburn Country Electric Cooperative, Inc.",AES Shady Point Inc
272,"RITELine Illinois, LLC",AES Hawaii LLC
273,Rochester Gas and Electric Corporation,A & N Electric Coop
274,Rockland Electric Company,Rockland Electric Co
275,Safe Harbor Water Power Corporation,Safe Harbor
276,"Salmon River Electric Cooperative, Inc.",Salmon River Electric Coop Inc
277,San Diego Gas & Electric Company,San Diego Gas & Electric Co
278,Savannah Electric and Power Company,Savannah Electric & Power Co
279,"Sharyland Utilities, L.P.",Sharyland Utilities LP
280,Sierra Pacific Power Company d/b/a NV Energy,Sierra Pacific Power Co
281,Smarr EMC,Smarr EMC
282,Smoky Mountain Transmission LLC,AES Cypress LLC
283,Somerset Rural Electric Cooperative Inc.,Rural Electric Co
284,"South Beloit Water, Gas and Electric Company",A & N Electric Coop
285,South Carolina Electric & Gas Company,South Carolina Electric&Gas Co
286,"South Carolina Generating Company, Inc.",South Carolina Genertg Co Inc
287,"Southeast Chicago Energy Project, LLC",Southeast Chicago Energy Proj.
288,Southern California Edison Company,Southern California Edison Co
289,Southern California Water Company,Southern California Water Co
290,SOUTHERN ELECTRIC GENERATING COMPANY,Southern Electric Generatg Co
291,Southern Indiana Gas and Electric Company,A & N Electric Coop
292,Southern Maryland Electric Cooperative,A & N Electric Coop
293,"Southwest Power Pool, Inc.",A B Energy Inc
294,Southwestern Electric Power Company,Southwestern Electric Power Co
295,Southwestern Public Service Company,Southwestern Public Service Co
296,"Soyland Power Cooperative, Inc",AES Shady Point Inc
297,St. Joseph Light & Power Company,St Joseph Light & Power Co
298,"Startrans IO, LLC",Adrian Energy Associates LLC
299,SU FERC L.L.C,Bartholomew County Rural E M C
300,Sun River Electric Cooperative,Riverside Electric Cooperative
301,"Superior Water, Light and Power Company",Superior Water Light&Power Co
302,Susquehanna Electric Company,Susquehanna Electric Co
303,Sussex Rural Electric Cooperative,Rural Electric Co
304,"System Energy Resources, Inc.",A B Energy Inc
305,Talbot EMC,Talbot Elect Membership Coop
306,Tampa Electric Company,Tampa Electric Co
307,Terra Comfort Corporation,PPL Corporation
308,Texas-New Mexico Power Company,Texas-New Mexico Power Co
309,THE ALLEGHENY GENERATING COMPANY,Allegheny Generating Co
310,The Dayton Power and Light Company,Dayton Power & Light Co
311,The Empire District Electric Company,Empire District Electric Co
312,The Morenci Water & Electric Company,Morenci Water & Electric Co
313,The Narragansett Electric Company,Narragansett Electric Co
314,THE POTOMAC EDISON COMPANY,The Potomac Edison Co
315,The United Illuminating Company,United Illuminating Co
316,The Walton E.M.C.,A E Staley Manufacturing Co
317,"Toledo Edison Company, The",The Toledo Edison Co
318,Trans Bay Cable LLC,Adirondack Hydro-4 Branch LLC
